world,regime,true_mortality_improvement,true_migration_age_pattern,true_age_reporting_error,true_linkage_urban_gradient,true_administrative_completeness,true_missingness_target_dependence,read_mortality_improvement,read_migration_age_pattern,read_age_reporting_error,read_linkage_urban_gradient,read_administrative_completeness,read_missingness_target_dependence,drift_se
dev-00,development,0.03224226731200716,0.9738075589787639,0.7915168617952161,1.115722799498096,1.0955063171275212,0.8277509425992616,0.049462475918914436,-0.0034111666650754636,0.1661861934436983,-0.009680437307786472,0.08581184567204173,-0.30304710830036274,0.013950291807208026
dev-01,development,0.017146307708648827,1.195286516341,1.9935555366689255,0.8470844569568161,1.3149561569890909,0.9474636441029697,0.027989046493270425,0.035046744282511325,0.18735471048568844,-0.017844128859756187,-0.005584946378862863,-0.44543478303902884,0.012329927141553175
dev-02,development,0.047229631502573144,0.8409295868993197,1.8462665546886532,1.1197247809552686,0.6995469181351364,0.7294768195278949,0.05438404417628278,0.00042916142935695706,0.24955318726418216,-0.021937748283470743,-0.2950826528265906,-0.14724193761892312,0.015565718686150509
dev-03,development,-0.009117909323253732,1.2212101924433185,0.827971802484513,1.1399922491405905,1.2502572110773553,0.6082433336866285,0.00447227063129813,0.03510525232933051,0.20268538101647118,-0.04282897029720515,-0.014422432905777695,-0.41174835975363866,0.013132275743245323
dev-04,development,0.007556206249592808,0.6943026043464359,2.0183360035010973,0.2676424506456787,1.3701720989710344,1.3322169380099145,0.03048787333402519,0.005521230457861442,0.21857759760289064,0.0009202646713228623,0.013078172278278401,-0.3223381696835643,0.011584690550871132
dev-05,development,0.013683005415680337,0.5064021797001701,0.7216364354536943,0.8490208868796096,0.9817029811291461,1.095313571722185,0.1201213442585114,0.006269286986383207,0.19155782096208984,-0.010175165128287509,0.34668448266879487,-0.06625508856664197,0.012435879409366312
dev-06,development,0.028887236947379057,0.752396076389651,1.366709100660133,0.5986824077310121,1.5562780439268993,0.7355038432321749,0.035072594732904,0.01736634842619617,0.1758060937731105,-0.0016878279225334095,0.25373020778369515,-0.43575856055141493,0.011818269110128185
dev-07,development,0.022297884070404242,1.1695404268781162,0.7090680968769321,0.7147704057785272,0.6520392202623009,0.6606440746695662,0.04244545773744013,0.031515989752791254,0.1957828700880021,-0.002491829881298687,-0.06542590464419869,-0.26697688895091387,0.01102611632490381
dev-08,development,0.033923890084791394,1.2388310882935791,2.049722552339771,0.8251311671315489,0.8669647703132329,0.32896274183064556,-0.08946912221010932,-0.013610271632181889,0.20535670245474424,-0.008835350033707064,0.3264880525628649,-0.3022482486905038,0.01565752820250028
dev-09,development,0.003808971147119543,1.2046396568936126,1.7924678288212847,1.501904340946642,0.5135652370516413,0.37598157019908496,-0.20094386323618582,0.011075881635338045,0.20908627030070556,-0.02161906798983027,0.0778953112230711,-0.5124627539018793,0.009142128645051035
dev-10,development,0.03800809343902977,0.3164551730425727,1.7437142412082065,1.0596700840233095,1.411395010361105,0.787322134744968,0.05162602348692406,0.005528820216995092,0.21563570909342655,-0.003891465805298671,0.25039857679298266,-0.5277023538309007,0.011490213676265184
dev-11,development,-0.0008160920694103349,0.7854615323025624,0.8380258200510164,0.7702666481117335,0.3985121315965262,0.26271495818101115,0.025080336832494984,0.007655490367094929,0.20638935227537714,-0.009834914938671245,0.1474438204262367,-0.5490938160355836,0.01085782074562997
qual-0,hidden,0.011113548715513046,1.8979236069167373,0.9333335083575659,2.3545880741640213,0.462453636570173,0.9269228700271996,0.02218730862829818,0.06635198021956527,0.17323711340206185,-0.05187655771881405,0.07611404171481491,-0.3057610200108791,0.0108798752840243
qual-1,hidden,0.04635533729303713,2.3906733077604634,2.501919124627116,1.5790387593644322,1.6297593720047523,1.1326591025809554,0.09129963390329443,0.007473998727882007,0.2687215150086437,-0.010903902610377415,0.11879641582879703,-0.5214326031002519,0.013033364459743924
qual-2,hidden,-0.01596666081896535,2.3053433124605407,1.20042702383114,2.0533624337283376,1.5585656805000476,1.1947035667145562,0.08184596797137486,0.07353972280469903,0.15158687890802217,-0.034021410005396005,-0.03511157482119926,-0.4746966104909087,0.011649482387487873
qual-3,hidden,0.038089225838793345,0.2183210248644836,2.284080569976968,0.5312778888226042,1.2252905359632522,0.3860525976922166,0.19120819589125432,-0.011344516751139346,0.21561501347202205,-0.004552866252024636,-0.1471984189390296,-0.3751331460481371,0.011647315729719393
qual-4,hidden,0.07243247582505691,1.259353795534472,1.5909134195624741,0.7125403615392273,1.2206024266059325,0.22147576588760154,0.07153732722097493,0.02575977271874221,0.2359863621365986,-0.02342190596692652,0.06528587482378095,-0.30597478307642323,0.011644579738982978
qual-5,hidden,0.04347847174683898,0.9434328596197232,2.13991371651621,1.2818887490788584,2.1420714976382413,1.1366499612599963,0.05187621670196823,0.02101311447527146,0.26406116630041954,-0.02861361287824154,0.13321065724236544,-0.3963274379903612,0.01218962516972821
