region,liability_mean,q95,es95,allocation
0,100298207.27000332,103873946.2024873,105048267.73813763,104646947.91150905
1,30833568.091123953,32551657.129196968,33734196.590616584,32551657.129196968
2,48153105.66208426,49797266.104617685,50378363.544364065,49955445.74882484
3,9515317.865951797,10062123.753733952,10203567.542450832,10185858.368132135
4,43436397.59053238,45248194.9253595,46064856.371607274,45248194.9253595
5,14917940.294844732,15705895.916977536,16029496.115704594,15705895.916977536
