region,liability_mean,q95,es95,allocation
0,30004650.388799153,30004650.388799153,30004650.388799153,30004650.388799153
1,64759871.39341855,64759871.39341855,64759871.39341855,64759871.39341855
2,63171266.453281626,63171266.453281626,63171266.453281626,63171266.453281626
3,21985654.543100618,21985654.543100618,21985654.543100618,21985654.543100618
4,43935019.472887054,43935019.472887054,43935019.472887054,43935019.472887054
5,37746537.74851298,37746537.74851298,37746537.74851298,37746537.74851298
