region,liability_mean,q95,es95,allocation
0,48855897.97131995,48855897.97131995,48855897.97131995,48855897.97131995
1,19425338.419624656,19425338.419624656,19425338.419624656,19425338.419624656
2,20720557.665250108,20720557.665250108,20720557.665250108,20720557.665250108
3,19974092.541202236,19974092.541202236,19974092.541202236,19974092.541202236
4,76786541.08919914,76786541.08919914,76786541.08919914,76786541.08919914
5,47382572.313403904,47382572.313403904,47382572.313403904,47382572.313403904
