region,liability_mean,q95,es95,allocation
0,28100471.573437102,34162950.5762537,36604793.261359915,35425299.63010616
1,13611186.413752727,16856876.770419512,17903210.368901294,16856876.770419512
2,15012732.533199025,18870886.206109658,20394483.061587706,18870886.206109658
3,15456482.148475876,18893930.955713388,19959564.463450152,19175409.05467222
4,71404001.51911965,86222192.27675056,92569624.29200555,86222192.27675056
5,44091331.548842765,54177388.26838942,57595649.391786695,56594336.06194191
